trial,filters,conv_layers,dense_units,dropout,batch_norm,optimizer,lr,accuracy,precision,recall,f1_score,weighted_score,flattening_layers
51,64,4,128,0.48,True,sgd,0.001,0.844938,0.849572,0.844938,0.842307,0.510882,flatten
52,32,2,512,0.38,True,adam,0.0001,0.822469,0.831529,0.822469,0.81691,0.459506,flatten
53,64,2,128,0.52,False,sgd,0.0005,0.682716,0.679455,0.682716,0.675982,0.21408,flatten
54,32,3,256,0.53,True,sgd,0.001,0.760741,0.780462,0.760741,0.757067,0.341947,flatten
55,32,3,512,0.31,True,rmsprop,0.0005,0.883704,0.885871,0.883704,0.882772,0.610706,flatten
56,32,4,256,0.33,False,rmsprop,0.005,0.790123,0.793991,0.790123,0.7879,0.39055,flatten
57,64,2,256,0.37,False,adam,0.005,0.731852,0.734743,0.731852,0.730128,0.28733,flatten
58,32,4,512,0.38,True,rmsprop,0.0005,0.907407,0.9108,0.907407,0.90729,0.680415,flatten
59,64,4,512,0.59,True,adam,0.0001,0.915309,0.916711,0.915309,0.914998,0.702729,flatten
60,32,3,128,0.31,True,sgd,0.0001,0.741975,0.746221,0.741975,0.736614,0.302612,flatten
61,64,4,512,0.45,True,sgd,0.0001,0.818519,0.818393,0.818519,0.815859,0.447336,flatten
62,32,4,512,0.44,True,adam,0.0001,0.906173,0.908011,0.906173,0.905826,0.675395,flatten
63,32,3,256,0.52,True,rmsprop,0.001,0.76,0.780202,0.76,0.751757,0.338775,flatten
64,32,3,256,0.58,False,rmsprop,0.0001,0.761235,0.760347,0.761235,0.759178,0.334497,flatten
65,64,4,256,0.35,True,rmsprop,0.001,0.876049,0.879805,0.876049,0.875609,0.591226,flatten
66,32,4,256,0.57,False,rmsprop,0.0005,0.922469,0.922611,0.922469,0.922223,0.724033,flatten
67,32,4,128,0.36,False,adam,0.005,0.737531,0.735523,0.737531,0.732766,0.293172,flatten
68,64,2,256,0.46,True,adam,0.0001,0.860741,0.860148,0.860741,0.859605,0.547793,flatten
69,32,4,128,0.41,False,adam,0.005,0.111111,0.012346,0.111111,0.022222,3e-06,flatten
